category,itemId,parentCategory,title,imageUrl,itemHashint64,upc,modifiedDate,createdDate,department,popularityIndex,brand,isActive
PAINT - PAINT SAMPLES,386787,INTERIOR PAINTS,8 oz Soft Skies Interior Satin Paint Sample,http://images.example.com/product/converted/042397/042397600357.jpg,360807805398717,042397600357,2013-02-08 10:11:25,2013-01-23 02:14:41,PAINT,NULL,Valspar,0
IMPORT RESIDENTIAL HINGES,308910,DOOR & WINDOW HARDWARE,"4"" Satin Brass Entry Door Hinge",http://images.example.com/product/converted/693508/6935080600748.jpg,365918542013324,6935080600748,2013-02-08 10:10:45,2013-01-23 02:09:08,HARDWARE,NULL,Gatehouse,0
METAL CONDUIT,263651,ELECTRICAL CONDUIT & FITTINGS,"1 1/2"" X 90 EMT ELBOWS",http://images.example.com/product/converted/000000/000000000000.jpg,367864005345597,623905012109,2013-02-08 10:10:28,2013-01-23 02:07:12,ROUGH ELECTRICAL,NULL,Columbia-MBF,0
CONVERSATIONAL,421585,PATIO FURNITURE,3-Piece Gatewood Patio Conversation Set,http://images.example.com/product/converted/400004/400004215859.jpg,381585430498214,400004215859,2013-02-08 10:11:36,2013-01-23 02:16:25,OUTDOOR FASHIONS,NULL,Unbranded,0
TUB/TUB SHOWER UNITS,185056,BATHING FIXTURES,"60""W x 34""D x 72""H High Gloss White Back Shower Wall Surround",http://images.example.com/product/converted/720416/720416002800.jpg,382841035308194,720416002800,2013-02-08 10:09:58,2013-01-23 02:03:05,FASHION PLUMBING,NULL,Aqua Glass,0
PLUMBING-TOILET REPAIR,101071,FAUCET/TOILET/SINK/MISC REPAIR,QuietFill Universal Adjustable Toilet Fill Valve,http://images.example.com/product/converted/749306/749306528022.jpg,388121194599744,749306528022,2013-02-08 10:09:24,2013-01-23 01:58:15,ROUGH PLUMBING,NULL,Korky,0
NUMBERS AND LETTERS,368376,GENERAL HARDWARE,"11"" x 17"" New Orleans Saints Sign",http://images.example.com/product/converted/000000/000000000000.jpg,397161287166794,032085368751,2013-02-08 10:11:15,2013-01-23 02:13:37,HARDWARE,NULL,WinCraft Sports,0
WINDOWS-VINYL-THERMASTAR 25 SERIES,133573,WINDOWS,36-in x 38-in Double Hung Window,http://images.example.com/product/converted/748171/748171596068.jpg,399153451339554,748171596068,2013-02-08 10:09:37,2013-01-23 01:59:59,MILLWORK,NULL,ThermaStar by Pella,0
TOOLS - CEMENT & MASONRY DRILLING B,162816,POWER TOOLS ACCESSORIES,"FS 5 PACK 1/4"" MASONRY BITS",http://images.example.com/product/converted/000000/000000000000.jpg,404450158986141,028877525754,2013-02-08 10:09:49,2013-01-23 02:01:53,TOOLS,NULL,BLACK & DECKER,0
SPECIALTY HARD-TO-FIND,290160,FASTENERS,2-Pack #6-32 x 1/2-in Brown Wall Plate Screws,http://images.example.com/product/converted/008236/008236714463.jpg,407815645902376,008236714463,2013-02-08 10:10:38,2013-01-23 02:08:09,HARDWARE,NULL,The Hillman Group,0
PLUMBING-P/F - CPVC HOT/COLD FTGS.,379997,FITTINGS,"3/4"" X 1/2"" COUPLING CPVC",http://images.example.com/product/converted/025528/025528785055.jpg,426754554662553,025528785055,2013-02-08 10:11:21,2013-01-23 02:14:18,ROUGH PLUMBING,NULL,LASCO,0
SCREENING ACCESSORIES,34079,SCREEN & GLASS,".375"" x 72"" White Screen Spline",http://images.example.com/product/converted/011646/011646716088.jpg,428759391388696,011646716088,2013-02-08 10:11:02,2013-01-23 01:53:17,HARDWARE,NULL,New York Wire,0
TOOLS - CERAMIC TILE,178694,HAND TOOLS,17-Piece Ceramic Tile Installation Kit,http://images.example.com/product/converted/820909/820909545767.jpg,434641596292245,820909545767,2013-02-08 10:09:56,2013-01-23 02:02:45,TOOLS,NULL,Precision Components,0
RUGS - PROMO BUYS,395874,RUGS,"31-1/2"" x 19-9/16"" Grey Anti-Fatigue Mat",http://images.example.com/product/converted/769924/769924217313.jpg,457873853781593,769924217313,2013-02-08 10:11:28,2013-01-23 02:15:10,WIND/WALLS,NULL,Home Dynamix,0
SANDPAPER,387096,ROTARY TOOLS & ACCESSORIES,3-Pack Multi Grade Belt Sandpaper,http://images.example.com/product/converted/076607/076607821218.jpg,462370507727181,076607821218,2013-02-08 10:11:25,2013-01-23 02:14:42,TOOLS,NULL,Norton,0
TOOLS - GENERAL PURPOSE DRILL BITS,299842,POWER TOOLS ACCESSORIES,1/8-in Metal Twist Drill Bit,http://images.example.com/product/converted/754005/754005084809.jpg,471953307340256,754005084809,2013-02-08 10:10:42,2013-01-23 02:08:42,TOOLS,NULL,Hitachi,0
CEILING TILE ACCESSORIES/GRID,12977,CEILINGS,Suspended Ceiling Plant Hanger Clips,http://images.example.com/product/converted/095285/095285052509.jpg,484763554477286,095285052509,2013-02-08 10:09:35,2013-01-23 01:51:36,BUILDING MATERIALS,NULL,Convenience Concepts,0
BASIC PLEATED AIR FILTERS,67565,AIR FILTERS,16X20 ENERGY AIRE (FLA),http://images.example.com/product/converted/031949/031949130121.jpg,492160604880661,,2013-02-08 10:11:57,2013-01-23 01:55:44,ROUGH PLUMBING,NULL,Energy Aire,0
LIVE NURSERY-CONIFER/EVERGREEN TREE,82970,SHRUBS/TREES,19.5 GAL PINE ASSORTED,http://images.example.com/product/converted/000000/000000000000.jpg,492933215561630,751636317603,2013-02-08 10:12:05,2013-01-23 01:56:52,NURSERY & GARDENING,NULL,Unbranded,0
PERGO LAMINATE,412119,STOCK LAMINATE,Max 5-3/8-in W x 47-5/8-in L Handscraped Richland Hickory Laminate Flooring,http://images.example.com/product/converted/604743/604743017877.jpg,524487615829285,604743017877,2013-02-08 10:11:34,2013-01-23 02:15:57,FLOORING,NULL,Pergo,0
REFRIGERATORS LG,406112,REFRIGERATORS,LMX28988ST LG 27.5CF 4DR(337157,http://images.example.com/product/converted/000000/000000000000.jpg,527597798400697,048231783170,2013-02-08 10:11:32,2013-01-23 02:15:44,APPLIANCES,NULL,LG,0
ACCESSORIES FOR BENCH & STATIONARY,71013,ROTARY TOOLS & ACCESSORIES,16-in Miter Saw Dust Bag,http://images.example.com/product/converted/028873/028873070531.jpg,529619566585704,028873070531,2013-02-08 10:12:00,2013-01-23 01:56:01,TOOLS,NULL,DEWALT,0
APPLICATORS:  POLES,40372,APPLICATORS,4-ft - 4-ft Metal Pole,http://images.example.com/product/converted/022384/022384065604.jpg,549049420960017,022384065604,2013-02-08 10:11:32,2013-01-23 01:53:45,PAINT,NULL,SHUR-LINE,0
LIVE NURSERY-PERENNIALS,442541,"ANNUALS, PERENNIALS & VEGETABLES",1.50-GAL EUCALYPTUS,http://images.example.com/product/converted/000000/000000000000.jpg,550830331015856,736019145363,2013-02-08 10:11:43,2013-01-23 02:17:00,NURSERY & GARDENING,NULL,Unbranded,0
MOULDING - PRECUT LENGTHS,241916,MOULDINGS,5/8-in x 2-1/4-in x 10-ft Stain Grade Radiata Pine Casing Moulding (Pattern 346),http://images.example.com/product/converted/049437/049437186673.jpg,554594888998858,049437186673,2013-02-08 10:10:20,2013-01-23 02:06:04,MILLWORK,NULL,EverTrue,0
WINDOWS-VINYL-THERMASTAR 20 SGL HUN,311853,WINDOWS,32-in x 46-in Single Hung Window,http://images.example.com/product/converted/748171/748171604398.jpg,563299505060742,748171604398,2013-02-08 10:10:46,2013-01-23 02:09:17,MILLWORK,NULL,ThermaStar by Pella,0
PRIME-LINE,106261,DOOR & WINDOW HARDWARE,3/4-in Flat Edge Nylon Sliding Shower Door Roller,http://images.example.com/product/converted/049793/049793061522.jpg,564685213403180,049793061522,2013-02-08 10:09:26,2013-01-23 01:58:33,HARDWARE,NULL,Prime-Line,0
PRE-HUNG:MOLDED HOLLOW CORE 2 PANEL,230292,INTERIOR DOORS,28-in x 80-in 2-Panel Hollow Molded Composite Left-Hand Interior Single Prehung Door,http://images.example.com/product/converted/030151/030151089685.jpg,570378287447637,030151089685,2013-02-08 10:10:15,2013-01-23 02:05:23,MILLWORK,NULL,ReliaBilt,0
CORONADO STONE VENEER,288986,STONE VENEER,8 Sq. Ft. Carmel Mountain Ledgestone Stone Veneer Flats,http://images.example.com/product/converted/756798/756798002848.jpg,592365737277687,756798002848,2013-02-08 10:10:37,2013-01-23 02:08:06,BUILDING MATERIALS,NULL,Coronado,0
PAINT - PAINT SAMPLES,177914,INTERIOR PAINTS,8 oz Raspberry Wine Interior Satin Paint Sample,http://images.example.com/product/converted/042397/042397077975.jpg,614095394969186,042397077975,2013-02-08 10:09:56,2013-01-23 02:02:43,PAINT,NULL,Valspar,0
LIVE NURSERY-PERENNIALS,443319,"ANNUALS, PERENNIALS & VEGETABLES",2.50 QT SCILLA GCS,http://images.example.com/product/converted/000000/000000000000.jpg,637912431036378,764677795385,2013-02-08 10:11:43,2013-01-23 02:17:01,NURSERY & GARDENING,NULL,Unbranded,0
NUMBERS AND LETTERS,63799,GENERAL HARDWARE,"3"" Black Vinyl Die-Cut Number 2",http://images.example.com/product/converted/045899/045899364024.jpg,658785737830077,045899364024,2013-02-08 10:11:55,2013-01-23 01:55:27,HARDWARE,NULL,The Hillman Group,0
CHROME SHOWER ONLY,352656,BATH FAUCETS,Transitional Chrome 1-Handle Shower Faucet with Single-Function Showerhead,http://images.example.com/product/converted/012611/012611488771.jpg,671680086597053,012611488771,2013-02-08 10:11:07,2013-01-23 02:12:18,FASHION PLUMBING,NULL,American Standard,0
DANCO FAUCET REPAIR,334773,FAUCET/TOILET/SINK/MISC REPAIR,Chrome Tub and Shower Trim Kit,http://images.example.com/product/converted/037155/037155014903.jpg,676765108747186,037155014903,2013-02-08 10:10:58,2013-01-23 02:11:06,ROUGH PLUMBING,NULL,Danco,0
WALL TILE - UNITED STATES CERAMIC,239388,WALL TILE,2-in x 4-in Color White Ceramic Wall Tile,http://images.example.com/product/converted/724764/724764360476.jpg,683871926744505,724764360476,2013-02-08 10:10:19,2013-01-23 02:05:55,FLOORING,NULL,United States Ceramic Tile,0
POOL CHEMICALS,39833,POOL PRODUCTS,Above Ground Maintenance Kit,http://images.example.com/product/converted/041596/041596028108.jpg,692226069916050,041596028108,2013-02-08 10:11:30,2013-01-23 01:53:43,OUTDOOR FASHIONS,NULL,Kem-Tek,0
SPECIALTY HARD-TO-FIND,138594,FASTENERS,2-Count #10 x 3/4-in Chrome Torx-Drive Sheet Metal Screws,http://images.example.com/product/converted/008236/008236715712.jpg,698805366985551,008236715712,2013-02-08 10:09:39,2013-01-23 02:00:18,HARDWARE,NULL,The Hillman Group,0
VANITY LIGHTING,122268,VANITY LIGHTING,"DRP 4 LITE VANITY,WHITE   VB1-4WW",http://images.example.com/product/converted/080629/080629704138.jpg,709355232459394,080629704138,2013-02-08 10:09:33,2013-01-23 01:59:26,LIGHTING,NULL,Portfolio,0
UNDERGROUND IRRIGATION ACCESSORIES,99959,IRRIGATION,Programmable Mechanical Water Timer,http://images.example.com/product/converted/078275/078275005105.jpg,713728675912558,078275005105,2013-02-08 10:12:15,2013-01-23 01:58:10,ROUGH PLUMBING,NULL,Intermatic,0
NUMBERS AND LETTERS,232898,GENERAL HARDWARE,"W WD SIGN, 11X17 GEORGIA TECH FC",http://images.example.com/product/converted/000000/000000000000.jpg,725261498981120,032085514264,2013-02-08 10:10:16,2013-01-23 02:05:31,HARDWARE,NULL,WinCraft Sports,0
SPECIALTY HARD-TO-FIND,139343,FASTENERS,"2.0"" Plastic Desk Grommet",http://images.example.com/product/converted/008236/008236716962.jpg,726881522869231,008236716962,2013-02-08 10:09:40,2013-01-23 02:00:22,HARDWARE,NULL,The Hillman Group,0
A+R COACH LIGHTING,361377,OUTDOOR DECORATIVE LIGHTING,Aztec 14-1/8-in Olde Auburn Outdoor Wall Light,http://images.example.com/product/converted/737995/737995393823.jpg,733323000988349,737995393823,2013-02-08 10:11:12,2013-01-23 02:13:13,LIGHTING,NULL,allen + roth,0
